,srcs,Object categories,Support/medium,ID,Dates,Pixels,Saturation,Brightness,Edge,Grey Var,Unique Colors,Entropy Variance,New Color Calc
193,https://images.rkd.nl/rkd/thumb/650x650/bcb9558d-08a1-a57f-b5fc-ec562c446838.jpg,watercolor (painting),"paper, watercolor",871.0,1903.0,278850,0.16126597211538854,0.4147373209997645,0.002331002331002331,0.02168603355346449,47309,0.3622987929071692,2047.781714004761
194,https://images.rkd.nl/rkd/thumb/650x650/f7e6a11b-766e-9216-72ff-f86d37d0e52e.jpg,painting,"canvas on cardboard, oil paint",873.0,1905.0,269750,0.2993757277975641,0.30272430900070874,0.0024096385542168677,0.009453938034413368,25398,0.4432078248686359,1477.6308763642844
195,https://images.rkd.nl/rkd/thumb/650x650/bf92ba23-3eef-1246-5654-5518e1123289.jpg,painting,"canvas, oil paint
paper mounted on canvas?",874.0,1905.0,332800,0.3293440868807703,0.2788604001696833,0.001953125,0.010321478107453982,29319,0.4921563630252978,1423.0574443108637
196,https://images.rkd.nl/rkd/thumb/650x650/5f712d05-a3ca-1fc4-0444-11828683ae06.jpg,painting,"canvas on cardboard, oil paint",875.0,1905.0,299000,0.24254516695549985,0.3761996852252606,0.002173913043478261,0.007645322112102519,34696,0.3605433053689428,890.9382335572567
197,https://images.rkd.nl/rkd/thumb/650x650/93d0707f-8310-c5db-5582-45a29b6e49d2.jpg,painting,"paper, oil paint",876.0,1905.0,265850,0.19118091156708109,0.5638494064543254,0.0024449877750611247,0.050484060588984365,53151,0.5161716651865226,2155.3256206558585
198,https://images.rkd.nl/rkd/thumb/650x650/cfafff42-06a5-1381-6485-83995ce75a22.jpg,painting,"canvas, oil paint",878.0,1907.0,230750,0.16207109646350198,0.48045104412295797,0.0028169014084507044,0.03876688558734531,15012,0.42417277322811536,2929.82336359352
199,https://images.rkd.nl/rkd/thumb/650x650/a82873b6-b54c-367b-e941-b6bedd3234cc.jpg,painting,"canvas, oil paint",880.0,1907.0,319150,0.0065808387864991465,0.6606594845991036,0.002036659877800407,0.03377482193415038,1152,0.4828620267351249,2142.3140894257976
200,https://images.rkd.nl/rkd/thumb/650x650/ae4b0670-3388-86e2-819c-f8b509112402.jpg,unknown,"unknown, oil paint",881.0,,263900,0.1504479768734964,0.6434341290893016,0.0024630541871921183,0.047331583480049295,28919,0.4682089057447621,2147.334618605361
201,https://images.rkd.nl/rkd/thumb/650x650/14481c14-732d-c6d0-3403-f54b634e7a91.jpg,painting,"canvas, oil paint",883.0,,367900,0.36001937557027897,0.3293074844506981,0.0017667844522968198,0.007130511446991381,19925,0.7851948949771258,1730.124317963169
202,https://images.rkd.nl/rkd/thumb/650x650/d9867af0-50d1-ece3-c01f-ec409067915b.jpg,drawing,"paper, chalk",884.0,1907.0,356850,0.3696083122500988,0.2762983073571309,0.0018214936247723133,0.005288281210036434,12302,0.4708068782792818,915.891553964651
203,https://images.rkd.nl/rkd/thumb/650x650/82ec997f-d62d-589c-8e2a-6fee378afe72.jpg,painting,"canvas, oil paint",885.0,1907.0,355550,0.4505060283102637,0.40814293238037735,0.0018281535648994515,0.007427142896743456,20190,0.4437614572044569,814.3269236900265
204,https://images.rkd.nl/rkd/thumb/650x650/bc9d7bed-00f2-be4d-ec76-ec079bd033eb.jpg,painting,"cardboard, oil paint",886.0,1907.0,272350,0.02035873223559076,0.5401863375054445,0.002386634844868735,0.07835732740778566,822,0.5591072282204322,4148.920659164146
205,https://images.rkd.nl/rkd/thumb/650x650/6ba1ab68-5817-893a-3f2b-f867a6a4db89.jpg,painting,"cardboard, oil paint",887.0,1906.0,313950,0.10369198039947436,0.5072743942616065,0.002070393374741201,0.045921537550822136,34966,0.7926575922615632,2979.882149717739
206,https://images.rkd.nl/rkd/thumb/650x650/bfe39b6a-c477-0d90-b7c3-ff657cfb9918.jpg,painting,"canvas, oil paint",888.0,1905.0,363350,0.3882413309897115,0.5256017290086533,0.0017889087656529517,0.02753167888890039,48169,0.6632032606948376,1505.5320635711894
207,https://images.rkd.nl/rkd/thumb/650x650/2e570fab-9aed-c544-2dfb-19908f3a6dc2.jpg,painting,"canvas, oil paint",889.0,1906.0,354900,0.2896296608043275,0.5775104392841949,0.0018315018315018315,0.015173806253743809,36532,0.4372920653333912,1045.471013905447
208,https://images.rkd.nl/rkd/thumb/650x650/ae6fb011-cef4-50b6-a1aa-529a7db9f776.jpg,oil sketch,"canvas, oil paint",890.0,,317850,0.1360267271889498,0.5142974951188591,0.002044989775051125,0.024129948482515217,24233,0.3435659958965733,1490.089544024947
209,https://images.rkd.nl/rkd/thumb/650x650/d192f959-5a76-18a5-c332-13a9e61fc873.jpg,oil sketch,"cardboard, oil paint
cardboard paper laid down on board",891.0,1906.0,252200,0.3378317253537197,0.44745870846355984,0.002577319587628866,0.017485679022359816,24335,0.423195810101872,1324.6494166090524
210,https://images.rkd.nl/rkd/thumb/650x650/988e6186-ddcf-a21e-bc6f-bf7d87cdfdf9.jpg,oil sketch,"cardboard, oil paint",893.0,1906.0,252200,0.457903038668634,0.5644696708183671,0.002577319587628866,0.015095784581655404,29265,0.364885735374145,1030.7738997982415
211,https://images.rkd.nl/rkd/thumb/650x650/fb140e6e-968a-199a-2d9c-45787fd0b6e5.jpg,oil sketch,"canvas on cardboard, oil paint",894.0,,330200,0.16820713142412472,0.4008858564625123,0.001968503937007874,0.04786723438125163,13490,0.5371319212628025,2035.7895322968461
212,https://images.rkd.nl/rkd/thumb/650x650/3e55b53b-324a-a1d7-6110-bdb7ccde1034.jpg,painting,"canvas, oil paint",895.0,,308750,0.1445971453121015,0.6472469445105976,0.002105263157894737,0.02471040293441149,5481,0.3549349082990553,2945.6797023943086
213,https://images.rkd.nl/rkd/thumb/650x650/5fd9f3ad-84d2-8efc-9539-2e310820c93e.jpg,drawing,"paper, chalk",897.0,1905.0,343850,0.2384450733559637,0.31852682000530325,0.001890359168241966,0.007865144342692332,18081,0.3650802043102399,1302.8431733756463
214,https://images.rkd.nl/rkd/thumb/650x650/685eb4ec-d0fc-7652-c5d7-6f5f8424e43d.jpg,painting,"canvas on cardboard, oil paint",898.0,1905.0,349700,0.2787282204153707,0.4449980767829008,0.0018587360594795538,0.019347061440589456,31428,0.3751325681954014,2080.62062523532
215,https://images.rkd.nl/rkd/thumb/650x650/bcbce84a-0acb-b384-cec5-b6dc64a4ea3a.jpg,painting,"canvas, oil paint",899.0,1905.0,325650,0.4473947522646635,0.4352778123993338,0.001996007984031936,0.026745047413178603,62064,0.24925058958440924,2007.8505537981764
216,https://images.rkd.nl/rkd/thumb/650x650/4c4d63d4-f5c8-7298-a7be-deeb0ca22a74.jpg,painting,"canvas, oil paint",900.0,1905.0,346450,0.2760679101356444,0.4691692262415138,0.001876172607879925,0.017929032888074743,55710,0.3883479938917086,1633.3736091753242
217,https://images.rkd.nl/rkd/thumb/650x650/e337e38a-bc7d-8cf7-4c19-ad4a85c50a97.jpg,painting,"canvas, oil paint",901.0,1905.0,354900,0.4417491501931728,0.2601474483284438,0.0018315018315018315,0.010271956437400571,40295,0.4996254275996578,1658.4528141856647
218,https://images.rkd.nl/rkd/thumb/650x650/78be3444-0087-6277-aa2a-536083a3b4df.jpg,oil sketch,"canvas, oil paint",902.0,1905.0,323700,0.10094454235855906,0.31078673669035123,0.002008032128514056,0.016260485860315976,12273,0.6086066056360246,1800.1352281885659
219,https://images.rkd.nl/rkd/thumb/650x650/b5b5650e-4a8d-61bd-29e3-8267a15d5164.jpg,painting,"canvas, oil paint",903.0,1905.0,308750,0.11310991591972624,0.5086239072795111,0.002105263157894737,0.034101493865601865,51678,0.582329319615616,2592.6476562995176
220,https://images.rkd.nl/rkd/thumb/650x650/d307c459-f4a1-4050-ba6a-c2b85d522562.jpg,watercolor (painting),"paper, aquarel paint (watercolor)",904.0,1905.0,345800,0.1779168736194809,0.5795785277673822,0.0018796992481203006,0.08390926472599305,41493,0.6866405400420993,3253.5174939187746
221,https://images.rkd.nl/rkd/thumb/650x650/65d5dc1e-c797-8fe3-ce9e-30d05c9cbdff.jpg,oil sketch,"canvas on cardboard, oil paint",905.0,1905.0,256750,0.42728868952867305,0.5163080894285659,0.002531645569620253,0.022506144741109697,28082,0.5410405245433004,1661.5380378948385
222,https://images.rkd.nl/rkd/thumb/650x650/a0e8d3d3-ff79-ee5c-49a1-9423d6e59e79.jpg,oil sketch,"canvas, oil paint
remounted on canvas?",906.0,1905.0,326300,0.11241587883064158,0.4713706140746216,0.00199203187250996,0.02509704043254132,26848,0.4936615317053141,1640.4223701339088
223,https://images.rkd.nl/rkd/thumb/650x650/331bd90e-d3cb-b8a7-d949-ed34c1f78491.jpg,oil sketch,"canvas on cardboard, oil paint",907.0,,288600,0.0699804346215444,0.5555838598779776,0.0022522522522522522,0.048966410416427235,14641,1.210480052533832,1722.84110913666
224,https://images.rkd.nl/rkd/thumb/650x650/6f1878d8-6b52-96b0-01e8-27beda7def47.jpg,watercolor (painting),"paper, watercolor",909.0,1906.0,355550,0.006980410609692543,0.5291205285376701,0.0018281535648994515,0.01998955131556127,1926,0.5079722241232117,1983.6225016686994
225,https://images.rkd.nl/rkd/thumb/650x650/fd58bb2d-50c2-7422-9c49-129a652949d2.jpg,painting,"cardboard, oil paint",911.0,,235950,0.29628166875820433,0.460421524999065,0.0027548209366391185,0.03258972323056797,21634,0.7806398565990023,2721.514594812246
226,https://images.rkd.nl/rkd/thumb/650x650/12384de4-aacf-77a3-ab80-2501f4d3d3d8.jpg,painting,"canvas, oil paint",913.0,,317850,0.013336809778493178,0.6093245858355927,0.002044989775051125,0.018953060910455417,899,0.482311688394985,1686.1941043544036
227,https://images.rkd.nl/rkd/thumb/650x650/f7d45c0f-afaa-b892-6120-33a6b1711dc4.jpg,oil sketch,"cardboard, oil paint",914.0,1906.0,253500,0.2221529305906144,0.4558726379703755,0.002564102564102564,0.02644875170053164,29159,0.4222972794052977,1881.1709058367458
228,https://images.rkd.nl/rkd/thumb/650x650/a31cc596-4608-de14-b738-36c503f4478f.jpg,oil sketch,"Piet Mondriaan,
                                                                                                                            
                                                Two female figures                                            
                                        
                                                                                    (double sided art work (back))",915.0,1907.0,290550,0.23351769881902198,0.4620462071595114,0.0022371364653243847,0.01622347289243949,25929,0.3370918173270147,1509.374643775007
229,https://images.rkd.nl/rkd/thumb/650x650/6558a43a-e044-93c3-5404-7937ad171494.jpg,oil sketch,"cardboard, oil paint",916.0,,334750,0.25535573970667835,0.3303483254989823,0.001941747572815534,0.0125311105577019,31523,0.1925663438794819,1793.5915260530764
230,https://images.rkd.nl/rkd/thumb/650x650/6ea38601-c966-9253-0389-9c16e6a0dee1.jpg,painting,"canvas, oil paint",917.0,1905.0,318500,0.16459718988437158,0.3431863206821189,0.0020408163265306124,0.012754660777791669,16871,0.475462037522549,1450.6789058572697
